Name,Type1,Type2,EvoStage,FullyEvolved,Gen,BaseStatTotal,BestStat
Bulbasaur,Grass,Poison,1,false,1,318,Special-attack
Ivysaur,Grass,Poison,2,false,1,405,Special-attack
Venusaur,Grass,Poison,3,true,1,525,Special-attack
Charmander,Fire,None,1,false,1,309,Speed
Charmeleon,Fire,None,2,false,1,405,Special-attack
Charizard,Fire,Flying,3,true,1,534,Special-attack
Squirtle,Water,None,1,false,1,314,Defense
Wartortle,Water,None,2,false,1,405,Defense
Blastoise,Water,None,3,true,1,530,Special-defense
Caterpie,Bug,None,1,false,1,195,Hp
Metapod,Bug,None,2,false,1,205,Defense
Butterfree,Bug,Flying,3,true,1,395,Special-attack
Weedle,Bug,Poison,1,false,1,195,Speed
Kakuna,Bug,Poison,2,false,1,205,Defense
Beedrill,Bug,Poison,3,true,1,395,Attack
Pidgey,Normal,Flying,1,false,1,251,Speed
Pidgeotto,Normal,Flying,2,false,1,349,Speed
Pidgeot,Normal,Flying,3,true,1,479,Speed
Rattata,Normal,None,1,false,1,253,Speed
Raticate,Normal,None,2,true,1,413,Speed
Spearow,Normal,Flying,1,false,1,262,Speed
Fearow,Normal,Flying,2,true,1,442,Speed
Ekans,Poison,None,1,false,1,288,Attack
Arbok,Poison,None,2,true,1,448,Attack
Pikachu,Electric,None,2,false,1,320,Speed
Raichu,Electric,None,3,true,1,485,Speed
Sandshrew,Ground,None,1,false,1,300,Defense
Sandslash,Ground,None,2,true,1,450,Defense
Nidoran-f,Poison,None,1,false,1,275,Hp
Nidorina,Poison,None,2,false,1,365,Hp
Nidoqueen,Poison,Ground,3,true,1,505,Attack
Nidoran-m,Poison,None,1,false,1,273,Attack
Nidorino,Poison,None,2,false,1,365,Attack
Nidoking,Poison,Ground,3,true,1,505,Attack
Clefairy,Fairy,None,2,false,1,323,Hp
Clefable,Fairy,None,3,true,1,483,Hp
Vulpix,Fire,None,1,false,1,299,Special-defense
Ninetales,Fire,None,2,true,1,505,Special-defense
Jigglypuff,Normal,Fairy,2,false,1,270,Hp
Wigglytuff,Normal,Fairy,3,true,1,435,Hp
Zubat,Poison,Flying,1,false,1,245,Speed
Golbat,Poison,Flying,2,false,1,455,Speed
Oddish,Grass,Poison,1,false,1,320,Special-attack
Gloom,Grass,Poison,2,false,1,395,Special-attack
Vileplume,Grass,Poison,3,true,1,490,Special-attack
Paras,Bug,Grass,1,false,1,285,Attack
Parasect,Bug,Grass,2,true,1,405,Attack
Venonat,Bug,Poison,1,false,1,305,Hp
Venomoth,Bug,Poison,2,true,1,450,Special-attack
Diglett,Ground,None,1,false,1,265,Speed
Dugtrio,Ground,None,2,true,1,425,Speed
Meowth,Normal,None,1,false,1,290,Speed
Persian,Normal,None,2,true,1,440,Speed
Psyduck,Water,None,1,false,1,320,Special-attack
Golduck,Water,None,2,true,1,500,Special-attack
Mankey,Fighting,None,1,false,1,305,Attack
Primeape,Fighting,None,2,false,1,455,Attack
Growlithe,Fire,None,1,false,1,350,Attack
Arcanine,Fire,None,2,true,1,555,Attack
Poliwag,Water,None,1,false,1,300,Speed
Poliwhirl,Water,None,2,false,1,385,Speed
Poliwrath,Water,Fighting,3,true,1,510,Attack
Abra,Psychic,None,1,false,1,310,Special-attack
Kadabra,Psychic,None,2,false,1,400,Special-attack
Alakazam,Psychic,None,3,true,1,500,Special-attack
Machop,Fighting,None,1,false,1,305,Attack
Machoke,Fighting,None,2,false,1,405,Attack
Machamp,Fighting,None,3,true,1,505,Attack
Bellsprout,Grass,Poison,1,false,1,300,Attack
Weepinbell,Grass,Poison,2,false,1,390,Attack
Victreebel,Grass,Poison,3,true,1,490,Attack
Tentacool,Water,Poison,1,false,1,335,Special-defense
Tentacruel,Water,Poison,2,true,1,515,Special-defense
Geodude,Rock,Ground,1,false,1,300,Defense
Graveler,Rock,Ground,2,false,1,390,Defense
Golem,Rock,Ground,3,true,1,495,Defense
Ponyta,Fire,None,1,false,1,410,Speed
Rapidash,Fire,None,2,true,1,500,Speed
Slowpoke,Water,Psychic,1,false,1,315,Hp
Slowbro,Water,Psychic,2,true,1,490,Defense
Magnemite,Electric,Steel,1,false,1,325,Special-attack
Magneton,Electric,Steel,2,false,1,465,Special-attack
Farfetchd,Normal,Flying,1,false,1,377,Attack
Doduo,Normal,Flying,1,false,1,310,Attack
Dodrio,Normal,Flying,2,true,1,470,Attack
Seel,Water,None,1,false,1,325,Special-defense
Dewgong,Water,Ice,2,true,1,475,Special-defense
Grimer,Poison,None,1,false,1,325,Hp
Muk,Poison,None,2,true,1,500,Hp
Shellder,Water,None,1,false,1,305,Defense
Cloyster,Water,Ice,2,true,1,525,Defense
Gastly,Ghost,Poison,1,false,1,310,Special-attack
Haunter,Ghost,Poison,2,false,1,405,Special-attack
Gengar,Ghost,Poison,3,true,1,500,Special-attack
Onix,Rock,Ground,1,false,1,385,Defense
Drowzee,Psychic,None,1,false,1,328,Special-defense
Hypno,Psychic,None,2,true,1,483,Special-defense
Krabby,Water,None,1,false,1,325,Attack
Kingler,Water,None,2,true,1,475,Attack
Voltorb,Electric,None,1,false,1,330,Speed
Electrode,Electric,None,2,true,1,490,Speed
Exeggcute,Grass,Psychic,1,false,1,325,Defense
Exeggutor,Grass,Psychic,2,true,1,530,Special-attack
Cubone,Ground,None,1,false,1,320,Defense
Marowak,Ground,None,2,true,1,425,Defense
Hitmonlee,Fighting,None,2,true,1,455,Attack
Hitmonchan,Fighting,None,2,true,1,455,Special-defense
Lickitung,Normal,None,1,false,1,385,Hp
Koffing,Poison,None,1,false,1,340,Defense
Weezing,Poison,None,2,true,1,490,Defense
Rhyhorn,Ground,Rock,1,false,1,345,Defense
Rhydon,Ground,Rock,2,false,1,485,Attack
Chansey,Normal,None,2,false,1,450,Hp
Tangela,Grass,None,1,false,1,435,Defense
Kangaskhan,Normal,None,1,true,1,490,Hp
Horsea,Water,None,1,false,1,295,Defense
Seadra,Water,None,2,false,1,440,Defense
Goldeen,Water,None,1,false,1,320,Attack
Seaking,Water,None,2,true,1,450,Attack
Staryu,Water,None,1,false,1,340,Speed
Starmie,Water,Psychic,2,true,1,520,Speed
Mr-mime,Psychic,Fairy,2,false,1,460,Special-defense
Scyther,Bug,Flying,1,false,1,500,Attack
Jynx,Ice,Psychic,2,true,1,455,Special-attack
Electabuzz,Electric,None,2,false,1,490,Speed
Magmar,Fire,None,2,false,1,495,Special-attack
Pinsir,Bug,None,1,true,1,500,Attack
Tauros,Normal,None,1,true,1,490,Speed
Magikarp,Water,None,1,false,1,200,Speed
Gyarados,Water,Flying,2,true,1,540,Attack
Lapras,Water,Ice,1,true,1,535,Hp
Ditto,Normal,None,1,true,1,288,Hp
Eevee,Normal,None,1,false,1,325,Special-defense
Vaporeon,Water,None,2,true,1,525,Hp
Jolteon,Electric,None,2,true,1,525,Speed
Flareon,Fire,None,2,true,1,525,Attack
Porygon,Normal,None,1,false,1,395,Special-attack
Omanyte,Rock,Water,1,false,1,355,Defense
Omastar,Rock,Water,2,true,1,495,Defense
Kabuto,Rock,Water,1,false,1,355,Defense
Kabutops,Rock,Water,2,true,1,495,Attack
Aerodactyl,Rock,Flying,1,true,1,515,Speed
Snorlax,Normal,None,2,true,1,540,Hp
Articuno,Ice,Flying,1,true,1,580,Special-defense
Zapdos,Electric,Flying,1,true,1,580,Special-attack
Moltres,Fire,Flying,1,true,1,580,Special-attack
Dratini,Dragon,None,1,false,1,300,Attack
Dragonair,Dragon,None,2,false,1,420,Attack
Dragonite,Dragon,Flying,3,true,1,600,Attack
Mewtwo,Psychic,None,1,true,1,680,Special-attack
Mew,Psychic,None,1,true,1,600,Hp
Chikorita,Grass,None,1,false,2,318,Defense
Bayleef,Grass,None,2,false,2,405,Defense
Meganium,Grass,None,3,true,2,525,Defense
Cyndaquil,Fire,None,1,false,2,309,Speed
Quilava,Fire,None,2,false,2,405,Special-attack
Typhlosion,Fire,None,3,true,2,534,Special-attack
Totodile,Water,None,1,false,2,314,Attack
Croconaw,Water,None,2,false,2,405,Attack
Feraligatr,Water,None,3,true,2,530,Attack
Sentret,Normal,None,1,false,2,215,Attack
Furret,Normal,None,2,true,2,415,Speed
Hoothoot,Normal,Flying,1,false,2,262,Hp
Noctowl,Normal,Flying,2,true,2,452,Hp
Ledyba,Bug,Flying,1,false,2,265,Special-defense
Ledian,Bug,Flying,2,true,2,390,Special-defense
Spinarak,Bug,Poison,1,false,2,250,Attack
Ariados,Bug,Poison,2,true,2,400,Attack
Crobat,Poison,Flying,3,true,2,535,Speed
Chinchou,Water,Electric,1,false,2,330,Hp
Lanturn,Water,Electric,2,true,2,460,Hp
Pichu,Electric,None,1,false,2,205,Speed
Cleffa,Fairy,None,1,false,2,218,Special-defense
Igglybuff,Normal,Fairy,1,false,2,210,Hp
Togepi,Fairy,None,1,false,2,245,Defense
Togetic,Fairy,Flying,2,false,2,405,Special-defense
Natu,Psychic,Flying,1,false,2,320,Special-attack
Xatu,Psychic,Flying,2,true,2,470,Special-attack
Mareep,Electric,None,1,false,2,280,Special-attack
Flaaffy,Electric,None,2,false,2,365,Special-attack
Ampharos,Electric,None,3,true,2,510,Special-attack
Bellossom,Grass,None,3,true,2,490,Special-defense
Marill,Water,Fairy,2,false,2,250,Hp
Azumarill,Water,Fairy,3,true,2,420,Hp
Sudowoodo,Rock,None,2,true,2,410,Defense
Politoed,Water,None,3,true,2,500,Special-defense
Hoppip,Grass,Flying,1,false,2,250,Special-defense
Skiploom,Grass,Flying,2,false,2,340,Speed
Jumpluff,Grass,Flying,3,true,2,460,Speed
Aipom,Normal,None,1,false,2,360,Speed
Sunkern,Grass,None,1,false,2,180,Hp
Sunflora,Grass,None,2,true,2,425,Special-attack
Yanma,Bug,Flying,1,false,2,390,Speed
Wooper,Water,Ground,1,false,2,210,Hp
Quagsire,Water,Ground,2,true,2,430,Hp
Espeon,Psychic,None,2,true,2,525,Special-attack
Umbreon,Dark,None,2,true,2,525,Special-defense
Murkrow,Dark,Flying,1,false,2,405,Speed
Slowking,Water,Psychic,2,true,2,490,Special-defense
Misdreavus,Ghost,None,1,false,2,435,Special-attack
Unown,Psychic,None,1,true,2,336,Attack
Wobbuffet,Psychic,None,2,true,2,405,Hp
Girafarig,Normal,Psychic,1,false,2,455,Special-attack
Pineco,Bug,None,1,false,2,290,Defense
Forretress,Bug,Steel,2,true,2,465,Defense
Dunsparce,Normal,None,1,false,2,415,Hp
Gligar,Ground,Flying,1,false,2,430,Defense
Steelix,Steel,Ground,2,true,2,510,Defense
Snubbull,Fairy,None,1,false,2,300,Attack
Granbull,Fairy,None,2,true,2,450,Attack
Qwilfish,Water,Poison,1,false,2,440,Attack
Scizor,Bug,Steel,2,true,2,500,Attack
Shuckle,Bug,Rock,1,true,2,505,Defense
Heracross,Bug,Fighting,1,true,2,500,Attack
Sneasel,Dark,Ice,1,false,2,430,Speed
Teddiursa,Normal,None,1,false,2,330,Attack
Ursaring,Normal,None,2,false,2,500,Attack
Slugma,Fire,None,1,false,2,250,Special-attack
Magcargo,Fire,Rock,2,true,2,430,Defense
Swinub,Ice,Ground,1,false,2,250,Hp
Piloswine,Ice,Ground,2,false,2,450,Hp
Corsola,Water,Rock,1,false,2,410,Defense
Remoraid,Water,None,1,false,2,300,Attack
Octillery,Water,None,2,true,2,480,Attack
Delibird,Ice,Flying,1,true,2,330,Speed
Mantine,Water,Flying,2,true,2,485,Special-defense
Skarmory,Steel,Flying,1,true,2,465,Defense
Houndour,Dark,Fire,1,false,2,330,Special-attack
Houndoom,Dark,Fire,2,true,2,500,Special-attack
Kingdra,Water,Dragon,3,true,2,540,Attack
Phanpy,Ground,None,1,false,2,330,Hp
Donphan,Ground,None,2,true,2,500,Attack
Porygon2,Normal,None,2,false,2,515,Special-attack
Stantler,Normal,None,1,false,2,465,Attack
Smeargle,Normal,None,1,true,2,250,Speed
Tyrogue,Fighting,None,1,false,2,210,Hp
Hitmontop,Fighting,None,2,true,2,455,Special-defense
Smoochum,Ice,Psychic,1,false,2,305,Special-attack
Elekid,Electric,None,1,false,2,360,Speed
Magby,Fire,None,1,false,2,365,Speed
Miltank,Normal,None,1,true,2,490,Defense
Blissey,Normal,None,3,true,2,540,Hp
Raikou,Electric,None,1,true,2,580,Special-attack
Entei,Fire,None,1,true,2,580,Hp
Suicune,Water,None,1,true,2,580,Defense
Larvitar,Rock,Ground,1,false,2,300,Attack
Pupitar,Rock,Ground,2,false,2,410,Attack
Tyranitar,Rock,Dark,3,true,2,600,Attack
Lugia,Psychic,Flying,1,true,2,680,Special-defense
Ho-oh,Fire,Flying,1,true,2,680,Special-defense
Celebi,Psychic,Grass,1,true,2,600,Hp
Treecko,Grass,None,1,false,3,310,Speed
Grovyle,Grass,None,2,false,3,405,Speed
Sceptile,Grass,None,3,true,3,530,Speed
Torchic,Fire,None,1,false,3,310,Special-attack
Combusken,Fire,Fighting,2,false,3,405,Attack
Blaziken,Fire,Fighting,3,true,3,530,Attack
Mudkip,Water,None,1,false,3,310,Attack
Marshtomp,Water,Ground,2,false,3,405,Attack
Swampert,Water,Ground,3,true,3,535,Attack
Poochyena,Dark,None,1,false,3,220,Attack
Mightyena,Dark,None,2,true,3,420,Attack
Zigzagoon,Normal,None,1,false,3,240,Speed
Linoone,Normal,None,2,false,3,420,Speed
Wurmple,Bug,None,1,false,3,195,Hp
Silcoon,Bug,None,2,false,3,205,Defense
Beautifly,Bug,Flying,3,true,3,395,Special-attack
Cascoon,Bug,None,2,false,3,205,Defense
Dustox,Bug,Poison,3,true,3,385,Special-defense
Lotad,Water,Grass,1,false,3,220,Special-defense
Lombre,Water,Grass,2,false,3,340,Special-defense
Ludicolo,Water,Grass,3,true,3,480,Special-defense
Seedot,Grass,None,1,false,3,220,Defense
Nuzleaf,Grass,Dark,2,false,3,340,Hp
Shiftry,Grass,Dark,3,true,3,480,Attack
Taillow,Normal,Flying,1,false,3,270,Speed
Swellow,Normal,Flying,2,true,3,455,Speed
Wingull,Water,Flying,1,false,3,270,Speed
Pelipper,Water,Flying,2,true,3,440,Defense
Ralts,Psychic,Fairy,1,false,3,198,Special-attack
Kirlia,Psychic,Fairy,2,false,3,278,Special-attack
Gardevoir,Psychic,Fairy,3,true,3,518,Special-attack
Surskit,Bug,Water,1,false,3,269,Speed
Masquerain,Bug,Flying,2,true,3,454,Special-attack
Shroomish,Grass,None,1,false,3,295,Hp
Breloom,Grass,Fighting,2,true,3,460,Attack
Slakoth,Normal,None,1,false,3,280,Hp
Vigoroth,Normal,None,2,false,3,440,Speed
Slaking,Normal,None,3,true,3,670,Attack
Nincada,Bug,Ground,1,false,3,266,Defense
Ninjask,Bug,Flying,2,true,3,456,Speed
Shedinja,Bug,Ghost,2,true,3,236,Attack
Whismur,Normal,None,1,false,3,240,Hp
Loudred,Normal,None,2,false,3,360,Hp
Exploud,Normal,None,3,true,3,490,Hp
Makuhita,Fighting,None,1,false,3,237,Hp
Hariyama,Fighting,None,2,true,3,474,Hp
Azurill,Normal,Fairy,1,false,3,190,Hp
Nosepass,Rock,None,1,false,3,375,Defense
Skitty,Normal,None,1,false,3,260,Hp
Delcatty,Normal,None,2,true,3,400,Speed
Sableye,Dark,Ghost,1,true,3,380,Attack
Mawile,Steel,Fairy,1,true,3,380,Attack
Aron,Steel,Rock,1,false,3,330,Defense
Lairon,Steel,Rock,2,false,3,430,Defense
Aggron,Steel,Rock,3,true,3,530,Defense
Meditite,Fighting,Psychic,1,false,3,280,Speed
Medicham,Fighting,Psychic,2,true,3,410,Speed
Electrike,Electric,None,1,false,3,295,Special-attack
Manectric,Electric,None,2,true,3,475,Special-attack
Plusle,Electric,None,1,true,3,405,Speed
Minun,Electric,None,1,true,3,405,Speed
